Entity_type,AR/FA_Name,Original_EN_Name,Tranformed_EN_Name,Category_of_Entity,Disambiguating_GEO_entities,GEOID_from_GEONAMES ,LAT,LNG,Granular/other_name,comments,Number_of_Camels,File,File_Name_in_AR/FA,File_Name_in_EN,Category_of_File_Name
Geographic,نگور,Nigor,Nigor,Village,Found in geonames w/certainty,122409,25.84768,57.6293,,,10,jashk_district.txt,جاشک,Jashk district ,District
Geographic,نخل ناخدا,Nakhl Nākhuda,Nakhl Nakhuda,Village,Found in geonames w/certainty,122788,27.1941,56.357,,,10,shamil_district.txt,شميل / شميلات,SHAMIL / SHAMILaT,District
Geographic,نخل جمال,Jāmāl (Nakhl-i-),Nakhl-i-Jamal,Village,Found in geonames w/certainty,122791,26.9109,53.6105,,,10,mugam.txt,مكام / مقام,MUGAM / MUQAM,Valley
Geographic,مغ إبراهيم,Mugh Ibrāhīm,Mugh Ibrahim,Unspecified,Found in geonames w/certainty,122794,27.1308,56.9149,Nakhl-e Ebrāhīmī,,10,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,مربخ,Marbakh,Marbakh,Village,Found in geonames w/certainty,123293,26.8403,53.8258,Garīsheh,,20,mugam.txt,مكام / مقام,MUGAM / MUQAM,Valley
Geographic,مخدان,Mukhdān,Mukhdan,Village,Found in geonames w/certainty,123457,28.14267,51.51122,,,100,dashti.txt,دشتي,Dashti,District
Geographic,مدرمري,Madūmari,Madumari,Unspecified,Found in geonames w/certainty,123549,28.726,51.0745,Moḩammad ‘Āmerī,,20,tangistan.txt,تنگستان,TANGISTAN,District
Geographic,فركس زار,Margiszār,Margiszar,Unspecified,Found in geonames w/certainty,123549,28.726,51.0745,Moḩammad ‘Āmerī,,25,tangistan.txt,تنگستان,TANGISTAN,District
Geographic,مشي,Mishi,Mishi,Village,Found in geonames w/certainty,123809,26.4827,57.1331,,,10,biyaban.txt,بيابان,Biyaban,District
Geographic,ميناب / ميناو,MINĀB / MĪNĀU,Minab / Minau ,Town,Found in geonames w/certainty,123941,27.13104,57.08716,,,300,minab_town.txt,ميناب / ميناو,MINAB / MINAU ,Town
Geographic,قلعة مشرقي,Qal'eh Mashraqi,Qaleh Mashraqi,Village,Found in geonames w/certainty,124204,30.54933,49.78788,Moshrāgeh,,1000,hindiyan_river.txt,هنديان,Hindiyan river,River
Geographic,مهيماني,Maihmāni,Maihmani,Village,Found in geonames w/certainty,124328,26.51928,57.24844,,,4,biyaban.txt,بيابان,Biyaban,District
Geographic,مازغ,Māzigh,Mazigh,Unspecified,Found in geonames w/certainty,124505,27.093,56.9018,Māzegh-e Pā’īn,I chose the lower one as it fit the distance more. ,100,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,ماشهران,Māshibrān,Mashibran,Unspecified,Found in geonames w/certainty,124681,27.1522,56.9622,Māshehrān,,7,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,شهرو,Shehru,Shehru,Village,Found in geonames w/certainty,125432,27.26669,56.10874,,"North-west, not north-east.",100,shamil_district.txt,شميل / شميلات,SHAMIL / SHAMILaT,District
Geographic,لوتي,Lūti,Luti,Unspecified,Found in geonames w/certainty,125554,25.69319,58.05492,,,30,jashk_district.txt,جاشک,Jashk district ,District
